nome,hora,dia,source
CarlosBolsonaro,21:17,2018-09-03,Twitter for iPhone
CarlosBolsonaro,22:48,2018-09-03,Twitter for iPhone
CarlosBolsonaro,23:03,2018-09-03,Twitter for iPhone
CarlosBolsonaro,9:55,2018-09-04,Twitter for iPhone
CarlosBolsonaro,10:24,2018-09-04,Twitter for iPhone
CarlosBolsonaro,11:44,2018-09-04,Twitter for iPhone
CarlosBolsonaro,16:12,2018-09-04,Twitter for iPhone
CarlosBolsonaro,16:28,2018-09-04,Twitter for iPhone
CarlosBolsonaro,0:36,2018-09-05,Twitter for iPhone
CarlosBolsonaro,0:50,2018-09-05,Twitter for iPhone
CarlosBolsonaro,9:06,2018-09-05,Twitter for iPhone
CarlosBolsonaro,9:16,2018-09-05,Twitter for iPhone
CarlosBolsonaro,10:34,2018-09-05,Twitter for iPhone
CarlosBolsonaro,20:55,2018-09-05,Twitter for iPhone
CarlosBolsonaro,0:49,2018-09-06,Twitter for iPhone
CarlosBolsonaro,0:55,2018-09-06,Twitter for iPhone
CarlosBolsonaro,10:00,2018-09-06,Twitter for iPhone
CarlosBolsonaro,16:24,2018-09-06,Twitter for iPhone
CarlosBolsonaro,12:52,2018-09-07,Twitter for iPhone
CarlosBolsonaro,16:48,2018-09-07,Twitter for iPhone
CarlosBolsonaro,22:50,2018-09-08,Twitter for iPhone
CarlosBolsonaro,23:55,2018-09-08,Twitter for iPhone
CarlosBolsonaro,12:56,2018-09-09,Twitter for iPhone
CarlosBolsonaro,14:14,2018-09-09,Twitter for iPhone
CarlosBolsonaro,1:55,2018-09-10,Twitter for iPhone
CarlosBolsonaro,17:01,2018-09-10,Twitter for iPhone
CarlosBolsonaro,19:35,2018-09-10,Twitter for iPhone
CarlosBolsonaro,0:30,2018-09-11,Twitter for iPhone
CarlosBolsonaro,2:16,2018-09-11,Twitter for iPhone
CarlosBolsonaro,6:14,2018-09-11,Twitter for iPhone
CarlosBolsonaro,10:39,2018-09-11,Twitter for iPhone
CarlosBolsonaro,11:16,2018-09-11,Twitter for iPhone
CarlosBolsonaro,12:02,2018-09-11,Twitter for iPhone
CarlosBolsonaro,13:05,2018-09-11,Twitter for iPhone
CarlosBolsonaro,13:15,2018-09-11,Twitter for iPhone
CarlosBolsonaro,13:38,2018-09-11,Twitter for iPhone
CarlosBolsonaro,14:29,2018-09-11,Twitter for iPhone
CarlosBolsonaro,20:06,2018-09-11,Twitter for iPhone
CarlosBolsonaro,22:31,2018-09-11,Twitter for iPhone
CarlosBolsonaro,3:04,2018-09-12,Twitter for iPhone
CarlosBolsonaro,10:19,2018-09-12,Twitter for iPhone
CarlosBolsonaro,12:37,2018-09-12,Twitter for iPhone
CarlosBolsonaro,18:34,2018-09-12,Twitter for iPhone
CarlosBolsonaro,19:38,2018-09-12,Twitter for iPhone
CarlosBolsonaro,8:54,2018-09-13,Twitter for iPhone
jairbolsonaro,1:38,2018-10-28,Twitter for Android
CarlosBolsonaro,21:36,2018-09-13,Twitter for iPhone
CarlosBolsonaro,21:39,2018-09-13,Twitter for iPhone
CarlosBolsonaro,21:53,2018-09-13,Twitter for iPhone
CarlosBolsonaro,22:43,2018-09-13,Twitter for iPhone
CarlosBolsonaro,2:17,2018-09-14,Twitter for iPhone
CarlosBolsonaro,9:14,2018-09-14,Twitter for iPhone
CarlosBolsonaro,14:48,2018-09-14,Twitter for iPhone
CarlosBolsonaro,14:57,2018-09-14,Twitter for iPhone
CarlosBolsonaro,18:28,2018-09-14,Twitter for iPhone
CarlosBolsonaro,19:58,2018-09-14,Twitter for iPhone
CarlosBolsonaro,20:04,2018-09-14,Twitter for iPhone
CarlosBolsonaro,21:24,2018-09-14,Twitter for iPhone
CarlosBolsonaro,1:36,2018-09-15,Twitter for iPhone
CarlosBolsonaro,1:46,2018-09-15,Twitter for iPhone
CarlosBolsonaro,3:37,2018-09-15,Twitter for iPhone
CarlosBolsonaro,10:54,2018-09-15,Twitter for iPhone
CarlosBolsonaro,12:48,2018-09-15,Twitter for iPhone
CarlosBolsonaro,17:00,2018-09-15,Twitter for iPhone
CarlosBolsonaro,17:10,2018-09-15,Twitter for iPhone
CarlosBolsonaro,19:02,2018-09-15,Twitter for iPhone
CarlosBolsonaro,19:12,2018-09-15,Twitter for iPhone
CarlosBolsonaro,22:56,2018-09-15,Twitter for iPhone
CarlosBolsonaro,23:12,2018-09-15,Twitter for iPhone
CarlosBolsonaro,23:22,2018-09-15,Twitter for iPhone
CarlosBolsonaro,1:30,2018-09-16,Twitter for iPhone
CarlosBolsonaro,2:34,2018-09-16,Twitter for iPhone
CarlosBolsonaro,2:52,2018-09-16,Twitter for iPhone
CarlosBolsonaro,9:57,2018-09-16,Twitter for iPhone
CarlosBolsonaro,10:39,2018-09-16,Twitter for iPhone
CarlosBolsonaro,11:32,2018-09-16,Twitter for iPhone
CarlosBolsonaro,13:54,2018-09-16,Twitter for iPhone
CarlosBolsonaro,17:37,2018-09-16,Twitter for iPhone
